"Object Designation  ","Date (yyyy-mm-dd.dd)","Distance (rEarth)","Width (rEarth)","Sigma Impact  ","Sigma LOV  ","Stretch LOV (rEarth)","Impact Probability  ","Impact Energy (Mt)","Palermo Scale  ","Torino Scale  ",""
"29075 (1950 DA)","2880-03-16.99","0.04","1.00e-3","0.000","-2.345","5.26e+2","1.2e-4","7.538e+04","-1.42","","a0029075"
"410777 (2009 FD)","2185-03-29.75","0.51","< 1.e-04","0.000","1.298","2.23e+2","1.4e-3","1.448e+02","-1.83","","a0410777"
"101955 Bennu (1999 RQ36)","2196-09-24.33","0.15","< 1.e-04","0.000","-0.065","1.68e+4","9.4e-5","1.151e+03","-2.32","","a0101955"
"101955 Bennu (1999 RQ36)","2185-09-24.59","0.04","< 1.e-04","0.000","0.182","2.55e+4","6.3e-5","1.152e+03","-2.46","","a0101955"
"101955 Bennu (1999 RQ36)","2175-09-25.15","0.23","< 1.e-04","0.000","1.344","1.49e+4","4.1e-5","1.151e+03","-2.62","","a0101955"
"101955 Bennu (1999 RQ36)","2196-09-24.31","0.00","< 1.e-04","0.000","-0.092","4.74e+4","3.5e-5","1.151e+03","-2.74","","a0101955"
"410777 (2009 FD)","2190-03-30.08","0.57","< 1.e-04","0.000","0.565","3.51e+3","1.7e-4","1.449e+02","-2.75","","a0410777"
"101955 Bennu (1999 RQ36)","2193-09-24.60","0.01","< 1.e-04","0.000","-1.938","9.47e+3","2.8e-5","1.152e+03","-2.84","","a0101955"
"99942 Apophis (2004 MN4)","2068-04-12.64","0.02","< 1.e-04","0.000","1.007","1.31e+5","6.7e-6","1.151e+03","-2.93","0","a0099942"
"101955 Bennu (1999 RQ36)","2180-09-24.39","0.12","< 1.e-04","0.000","0.529","8.33e+4","2.0e-5","1.150e+03","-2.96","","a0101955"
"101955 Bennu (1999 RQ36)","2185-09-24.59","0.07","< 1.e-04","0.000","-0.111","8.34e+4","2.0e-5","1.151e+03","-2.97","","a0101955"
"(1979 XB)","2056-12-12.90","0.19","9.71e-2","0.000","-0.89486","2.95e+6","1.8e-7","4.270e+04","-3.12","0","bJ79X00B"
"(1979 XB)","2113-12-14.75","0.21","2.55e-2","0.000","0.06341","1.40e+6","5.6e-7","3.074e+04","-3.13","0","bJ79X00B"
"(2010 AU118)","2020-10-20.11","25.31","6.35e+2","0.038","-0.56370","5.07e+5","1.3e-9","9.104e+05","-3.14","0","bK10AB8U"
"(2007 FT3)","2019-10-03.93","65.92","4.67e+1","1.390","-0.52688","3.75e+4","9.2e-8","2.670e+03","-3.17","0","bK07F03T"
"101955 Bennu (1999 RQ36)","2180-09-24.36","0.19","< 1.e-04","0.000","0.894","9.67e+4","1.1e-5","1.152e+03","-3.19","","a0101955"
"101955 Bennu (1999 RQ36)","2187-09-25.14","0.86","< 1.e-04","0.000","1.689","1.98e+4","8.3e-6","1.152e+03","-3.35","","a0101955"
"(2017 GM7)","2035-06-20.48","0.73","3.62e+0","0.000","-2.90594","2.61e+4","7.5e-8","2.380e+04","-3.36","0","bK17G07M"
"(2015 ME131)","2017-08-19.39","144.61","6.15e+2","0.234","0.78940","2.41e+5","2.4e-9","1.146e+04","-3.41","0","bK15MD1E"
"101955 Bennu (1999 RQ36)","2175-09-25.16","0.45","< 1.e-04","0.000","1.051","1.18e+5","6.4e-6","1.151e+03","-3.43","","a0101955"
"(2008 UV99)","2019-03-30.15","11.92","3.04e+1","0.359","0.51598","4.70e+5","2.9e-8","3.932e+03","-3.44","0","bK08U99V"
"(2017 FN128)","2059-09-13.59","4.26","1.58e+0","2.059","2.28996","9.01e+3","9.0e-8","3.449e+04","-3.52","0","bK17FC8N"
"101955 Bennu (1999 RQ36)","2191-09-25.13","0.03","< 1.e-04","0.000","-0.164","3.05e+5","5.4e-6","1.150e+03","-3.54","","a0101955"
"(2010 AU118)","2025-10-20.64","103.75","6.26e+2","0.164","-0.53931","7.40e+5","9.2e-10","9.039e+05","-3.68","0","bK10AB8U"
"101955 Bennu (1999 RQ36)","2182-09-24.85","0.28","< 1.e-04","0.000","-2.291","3.03e+4","3.5e-6","1.151e+03","-3.71","","a0101955"
"(2017 FO128)","2104-03-15.81","0.61","1.17e-2","0.000","-1.58172","1.13e+4","1.6e-5","7.554e+01","-3.71","0","bK17FC8O"
"(2005 ED224)","2018-03-11.32","0.90","9.42e-3","0.000","1.43764","2.96e+5","4.1e-7","2.447e+01","-3.72","0","bK05EM4D"
"(2001 CA21)","2020-10-08.57","12.96","9.77e+0","1.224","-1.60215","1.90e+6","3.2e-9","5.487e+04","-3.73","0","bK01C21A"
"(2007 FT3)","2024-10-02.85","52.12","4.74e+1","1.079","-0.82761","5.48e+4","7.5e-8","2.724e+03","-3.73","0","bK07F03T"
"101955 Bennu (1999 RQ36)","2176-09-24.39","0.17","< 1.e-04","0.000","2.458","2.56e+4","3.1e-6","1.152e+03","-3.75","","a0101955"
"(2001 CA21)","2025-10-09.45","6.30","4.55e+0","1.165","-1.61080","1.67e+6","7.1e-9","5.554e+04","-3.76","0","bK01C21A"
"101955 Bennu (1999 RQ36)","2181-09-24.78","0.01","< 1.e-04","0.000","1.021","3.52e+5","2.9e-6","1.151e+03","-3.80","","a0101955"
"(2016 NL56)","2019-09-04.74","54.17","9.29e+1","0.573","-0.37959","4.55e+4","9.2e-8","3.903e+02","-3.82","0","bK16N56L"
"(2016 NL56)","2020-06-23.44","50.74","9.50e+2","0.052","0.12644","8.66e+5","6.0e-10","2.977e+05","-3.83","0","bK16N56L"
"(2010 AU118)","2028-10-19.96","106.92","5.54e+2","0.191","-0.57945","8.55e+5","8.8e-10","9.147e+05","-3.83","0","bK10AB8U"
"(2007 FT3)","2030-10-03.62","36.39","4.77e+1","0.742","-0.60895","6.54e+4","9.9e-8","2.685e+03","-3.87","0","bK07F03T"
"(2001 VB)","2023-07-23.30","0.92","5.15e-1","0.000","-3.39298","3.23e+5","2.4e-9","8.601e+04","-3.95","0","bK01V00B"
"(2012 QD8)","2047-03-08.97","0.25","1.48e-2","0.000","0.07979","1.68e+5","4.6e-6","4.817e+01","-3.95","0","bK12Q08D"
"(2010 AU118)","2033-10-20.43","5.08","5.47e+2","0.007","-0.56034","8.88e+5","8.8e-10","9.094e+05","-3.98","0","bK10AB8U"
"(2010 AU118)","2030-10-21.05","175.37","6.23e+2","0.280","-0.52635","9.62e+5","7.0e-10","9.004e+05","-4.00","0","bK10AB8U"
"(2010 WC9)","2027-05-16.00","0.60","4.43e-1","0.000","1.03461","9.39e+4","3.2e-6","1.557e+01","-4.02","0","bK10W09C"
"101955 Bennu (1999 RQ36)","2194-09-24.80","0.57","< 1.e-04","0.000","2.916","9.55e+3","1.8e-6","1.151e+03","-4.04","","a0101955"
"99942 Apophis (2004 MN4)","2076-04-13.02","0.11","< 1.e-04","0.000","1.075","1.73e+6","5.4e-7","1.151e+03","-4.09","0","a0099942"
"101955 Bennu (1999 RQ36)","2186-09-24.97","0.54","< 1.e-04","0.000","-0.187","8.05e+5","1.5e-6","1.151e+03","-4.10","","a0101955"
"(2016 WN55)","2020-09-13.11","158.88","1.04e+2","1.516","-0.49467","1.49e+5","8.9e-9","5.024e+03","-4.10","0","bK16W55N"
"101955 Bennu (1999 RQ36)","2198-09-24.91","0.40","< 1.e-04","0.000","-1.450","3.12e+5","1.5e-6","1.152e+03","-4.11","","a0101955"
"101955 Bennu (1999 RQ36)","2182-09-24.86","0.07","< 1.e-04","0.000","-2.753","2.61e+4","1.4e-6","1.151e+03","-4.11","","a0101955"
"101955 Bennu (1999 RQ36)","2181-09-24.54","0.17","< 1.e-04","0.000","1.361","4.61e+5","1.4e-6","1.151e+03","-4.12","","a0101955"
"(2007 FT3)","2041-10-03.36","28.31","4.82e+1","0.567","-0.63624","7.30e+4","9.8e-8","2.690e+03","-4.13","0","bK07F03T"
"(2011 BT59)","2052-04-10.29","2.69","1.77e+0","0.959","-0.93149","5.10e+5","1.2e-7","3.339e+03","-4.13","0","bK11B59T"
"(2015 ME131)","2018-08-19.19","83.84","6.22e+2","0.133","0.76847","3.35e+5","1.8e-9","1.100e+04","-4.13","0","bK15MD1E"
"101955 Bennu (1999 RQ36)","2191-09-25.18","0.66","< 1.e-04","0.000","-0.146","7.37e+5","1.4e-6","1.150e+03","-4.13","","a0101955"
"(2008 EX5)","2072-10-09.02","0.02","1.55e-2","0.000","-0.99054","2.07e+4","2.4e-5","7.285e+00","-4.16","0","bK08E05X"
"101955 Bennu (1999 RQ36)","2191-09-25.32","0.17","< 1.e-04","0.000","-0.172","1.20e+6","1.3e-6","1.150e+03","-4.17","","a0101955"
"(2017 FN128)","2064-09-12.85","1.84","1.59e+0","0.526","2.28139","5.56e+5","2.2e-8","3.450e+04","-4.18","0","bK17FC8N"
"101955 Bennu (1999 RQ36)","2190-09-24.81","0.01","< 1.e-04","0.000","0.311","1.62e+6","1.2e-6","1.152e+03","-4.18","","a0101955"
"(2010 AU118)","2036-10-19.92","134.56","5.19e+2","0.257","-0.58596","1.18e+6","6.6e-10","9.159e+05","-4.18","0","bK10AB8U"
"(2017 GM7)","2076-06-19.74","2.50","3.07e+0","0.491","-0.39778","2.85e+6","3.8e-8","2.324e+04","-4.18","0","bK17G07M"
"(2007 FT3)","2035-10-03.69","27.50","4.81e+1","0.551","-0.79003","1.02e+5","6.4e-8","2.718e+03","-4.19","0","bK07F03T"
"99942 Apophis (2004 MN4)","2103-04-14.44","0.60","< 1.e-04","0.000","1.002","1.33e+6","5.4e-7","1.151e+03","-4.24","0","a0099942"
"101955 Bennu (1999 RQ36)","2191-09-25.38","0.03","< 1.e-04","0.000","0.535","1.39e+6","1.0e-6","1.150e+03","-4.26","","a0101955"
"(2010 CR5)","2062-01-01.09","1.15","1.31e+0","0.113","-0.35392","3.45e+6","6.9e-8","5.922e+03","-4.27","0","bK10C05R"
"(2017 GM7)","2060-06-19.60","6.05","3.87e+0","1.305","-2.60364","5.92e+4","2.2e-8","2.382e+04","-4.27","0","bK17G07M"
"(2010 AU118)","2038-10-20.85","68.21","5.71e+2","0.118","-0.54675","1.29e+6","5.8e-10","9.055e+05","-4.28","0","bK10AB8U"
"101955 Bennu (1999 RQ36)","2186-09-24.74","0.00","< 1.e-04","0.000","0.692","1.42e+6","9.4e-7","1.150e+03","-4.30","","a0101955"
"(2010 AU118)","2041-10-20.35","48.57","5.29e+2","0.090","-0.56982","1.28e+6","6.2e-10","9.116e+05","-4.30","0","bK10AB8U"
"99942 Apophis (2004 MN4)","2065-04-11.77","0.17","< 1.e-04","0.000","0.923","4.15e+6","2.6e-7","1.151e+03","-4.32","0","a0099942"
"101955 Bennu (1999 RQ36)","2193-09-24.74","0.02","< 1.e-04","0.000","1.674","4.86e+5","8.5e-7","1.151e+03","-4.35","","a0101955"
"(2007 FT3)","2046-10-03.49","16.88","4.83e+1","0.329","-0.77242","1.03e+5","7.0e-8","2.715e+03","-4.36","0","bK07F03T"
"101955 Bennu (1999 RQ36)","2199-09-24.92","0.78","< 1.e-04","0.000","-0.920","6.49e+5","8.7e-7","1.152e+03","-4.36","","a0101955"
"101955 Bennu (1999 RQ36)","2194-09-24.79","0.18","< 1.e-04","0.000","2.832","3.35e+4","8.5e-7","1.151e+03","-4.36","","a0101955"
"101955 Bennu (1999 RQ36)","2192-09-24.19","0.08","< 1.e-04","0.000","-0.213","3.74e+5","8.4e-7","1.154e+03","-4.36","","a0101955"
"101955 Bennu (1999 RQ36)","2186-09-25.00","0.29","< 1.e-04","0.000","1.327","7.51e+5","8.1e-7","1.151e+03","-4.36","","a0101955"
"(2008 EX5)","2083-10-09.71","0.35","1.64e-2","0.000","-0.91976","2.78e+4","1.8e-5","7.281e+00","-4.36","0","bK08E05X"
"(2012 QD8)","2050-03-08.68","0.07","1.46e-2","0.000","-3.10852","3.36e+3","1.9e-6","4.855e+01","-4.37","0","bK12Q08D"
"101955 Bennu (1999 RQ36)","2188-09-24.35","0.90","< 1.e-04","0.000","2.781","1.58e+4","8.0e-7","1.150e+03","-4.37","","a0101955"
"(2015 RN35)","2074-12-12.66","0.78","6.08e-3","0.000","0.58875","5.24e+4","8.0e-6","1.577e+01","-4.38","0","bK15R35N"
"(2007 FT3)","2073-10-03.27","21.97","4.55e+1","0.461","-0.81209","5.73e+4","1.2e-7","2.723e+03","-4.39","0","bK07F03T"
"101955 Bennu (1999 RQ36)","2198-09-24.74","0.07","< 1.e-04","0.000","-0.193","2.08e+6","7.8e-7","1.150e+03","-4.41","","a0101955"
"(2010 AU118)","2044-10-19.91","150.65","4.99e+2","0.300","-0.58951","1.48e+6","5.4e-10","9.167e+05","-4.41","0","bK10AB8U"
"(2008 UB7)","2060-10-31.80","0.14","6.66e-2","0.000","2.36870","8.56e+3","5.6e-6","1.418e+01","-4.45","0","bK08U07B"
"101955 Bennu (1999 RQ36)","2194-09-24.75","0.01","< 1.e-04","0.000","3.204","1.45e+4","6.9e-7","1.153e+03","-4.45","","a0101955"
"101955 Bennu (1999 RQ36)","2190-09-24.81","0.20","< 1.e-04","0.000","0.957","1.45e+6","6.7e-7","1.152e+03","-4.45","","a0101955"
"(2008 UB7)","2060-10-31.77","0.78","2.29e-2","0.000","2.23235","7.62e+3","5.4e-6","1.419e+01","-4.46","0","bK08U07B"
"101955 Bennu (1999 RQ36)","2181-09-24.55","0.22","< 1.e-04","0.000","1.882","4.15e+5","6.3e-7","1.152e+03","-4.46","","a0101955"
"(2007 FT3)","2050-10-03.18","123.42","9.97e+1","1.228","-1.06845","2.18e+4","6.0e-8","2.767e+03","-4.47","0","bK07F03T"
"(2010 XB73)","2017-05-25.89","83.23","5.24e+1","1.568","-1.32069","1.34e+5","8.4e-9","3.185e+01","-4.47","0","bK10X73B"
"(2015 ME131)","2019-08-19.22","53.13","6.23e+2","0.084","0.75741","4.30e+5","1.4e-9","1.078e+04","-4.47","0","bK15MD1E"
"(2010 AU118)","2049-10-20.31","82.48","5.04e+2","0.162","-0.57662","1.49e+6","5.6e-10","9.130e+05","-4.47","0","bK10AB8U"
"99942 Apophis (2004 MN4)","2078-04-13.76","0.06","< 1.e-04","0.000","0.925","5.02e+6","2.2e-7","1.151e+03","-4.48","0","a0099942"
"(2016 NL56)","2023-06-11.74","136.74","1.27e+3","0.107","0.11014","9.31e+5","4.2e-10","1.645e+05","-4.48","0","bK16N56L"
"101955 Bennu (1999 RQ36)","2192-09-24.17","0.17","< 1.e-04","0.000","-2.547","5.32e+4","5.8e-7","1.151e+03","-4.52","","a0101955"
"101955 Bennu (1999 RQ36)","2191-09-25.55","0.73","< 1.e-04","0.000","0.899","1.14e+6","5.6e-7","1.150e+03","-4.53","","a0101955"
"(2017 FB1)","2108-03-03.50","0.58","2.00e-1","0.000","1.12071","7.37e+4","4.4e-6","3.674e+01","-4.54","0","bK17F01B"
"101955 Bennu (1999 RQ36)","2187-09-25.06","0.00","< 1.e-04","0.000","-2.223","2.73e+5","5.3e-7","1.152e+03","-4.55","","a0101955"
"(2007 FT3)","2091-10-04.03","53.85","5.11e+1","1.033","-0.61906","4.16e+4","1.1e-7","2.685e+03","-4.56","0","bK07F03T"
"99942 Apophis (2004 MN4)","2091-04-13.38","0.83","< 1.e-04","0.000","0.927","2.23e+6","2.2e-7","1.153e+03","-4.56","0","a0099942"
"(2010 AU118)","2048-10-20.55","157.85","5.77e+2","0.272","-0.53102","1.62e+6","4.5e-10","9.014e+05","-4.56","0","bK10AB8U"
"(2008 UB7)","2060-10-31.80","0.26","5.26e-2","0.000","2.38455","1.05e+4","4.3e-6","1.418e+01","-4.57","0","bK08U07B"
"99942 Apophis (2004 MN4)","2077-04-13.45","0.40","< 1.e-04","0.000","1.004","4.56e+6","1.8e-7","1.152e+03","-4.57","0","a0099942"
"(2007 FT3)","2091-10-04.03","54.11","4.61e+1","1.153","-0.61852","4.38e+4","1.0e-7","2.685e+03","-4.59","0","bK07F03T"
"(2010 AU118)","2052-10-19.90","160.58","4.90e+2","0.326","-0.59175","1.74e+6","4.7e-10","9.174e+05","-4.59","0","bK10AB8U"
"(2010 AU118)","2051-10-21.10","57.41","5.49e+2","0.103","-0.54965","1.73e+6","4.5e-10","9.062e+05","-4.60","0","bK10AB8U"
"(2010 AU118)","2075-10-20.97","30.82","4.68e+2","0.064","-0.56830","1.24e+6","7.3e-10","9.110e+05","-4.61","0","bK10AB8U"
"410777 (2009 FD)","2196-03-29.44","0.52","< 1.e-04","0.000","1.164","1.53e+5","2.4e-6","1.447e+02","-4.62","","a0410777"
"(2010 AU118)","2056-10-20.45","97.40","5.43e+2","0.178","-0.54234","1.64e+6","4.8e-10","9.044e+05","-4.63","0","bK10AB8U"
"(2008 UB7)","2063-11-01.40","0.30","1.80e-3","0.000","-1.57383","6.09e+4","3.6e-6","1.454e+01","-4.66","0","bK08U07B"
"(2016 WN55)","2026-09-13.26","84.85","1.32e+2","0.636","-0.51121","4.12e+5","6.6e-9","5.211e+03","-4.66","0","bK16W55N"
"101955 Bennu (1999 RQ36)","2195-09-25.27","0.29","< 1.e-04","0.000","0.960","2.23e+6","4.2e-7","1.152e+03","-4.67","","a0101955"
"(2014 MV67)","2018-03-22.29","123.48","7.07e+1","1.733","0.19467","2.78e+6","5.4e-10","6.403e+03","-4.68","0","bK14M67V"
"99942 Apophis (2004 MN4)","2060-04-12.55","0.64","< 1.e-04","0.000","0.872","6.60e+6","1.0e-7","1.152e+03","-4.68","0","a0099942"
"(2008 FF5)","2060-03-27.75","0.02","5.56e-3","0.000","0.62197","1.36e+6","4.8e-7","1.432e+02","-4.70","0","bK08F05F"
"(2010 AU118)","2065-10-20.28","110.10","4.83e+2","0.226","-0.58360","1.77e+6","4.8e-10","9.146e+05","-4.71","0","bK10AB8U"
"(2015 ME131)","2020-08-18.34","33.56","6.25e+2","0.052","0.75061","5.23e+5","1.2e-9","1.066e+04","-4.72","0","bK15MD1E"
"(2007 FT3)","2040-10-02.83","69.03","4.80e+1","1.417","-0.89972","1.05e+5","2.4e-8","2.737e+03","-4.73","0","bK07F03T"
"101955 Bennu (1999 RQ36)","2190-09-25.46","0.27","< 1.e-04","0.000","-1.393","1.61e+6","3.5e-7","1.152e+03","-4.73","","a0101955"
"(2010 AU118)","2102-10-21.63","98.83","5.57e+2","0.176","-0.58440","9.39e+5","7.9e-10","9.147e+05","-4.74","0","bK10AB8U"
"101955 Bennu (1999 RQ36)","2199-09-25.11","0.24","< 1.e-04","0.000","-1.813","8.34e+5","3.5e-7","1.150e+03","-4.75","","a0101955"
"101955 Bennu (1999 RQ36)","2192-09-24.41","0.01","< 1.e-04","0.000","-2.209","4.44e+5","3.3e-7","1.152e+03","-4.76","","a0101955"
"(2008 UV99)","2047-03-29.98","7.75","1.53e+1","0.442","0.50882","1.23e+6","2.1e-8","3.847e+03","-4.77","0","bK08U99V"
"(2016 NL56)","2022-09-08.91","77.39","3.03e+2","0.252","-0.28763","9.28e+4","1.6e-8","6.071e+02","-4.77","0","bK16N56L"
"(2010 AU118)","2071-10-21.40","176.52","5.45e+2","0.322","-0.52858","1.60e+6","4.7e-10","9.010e+05","-4.77","0","bK10AB8U"
"(2008 UV99)","2058-03-29.84","1.94","1.28e+1","0.074","0.51125","1.25e+6","2.7e-8","3.874e+03","-4.78","0","bK08U99V"
"(2016 NL56)","2026-06-05.83","190.87","1.25e+3","0.152","0.10177","1.04e+6","3.8e-10","1.246e+05","-4.78","0","bK16N56L"
"(2010 AU118)","2068-10-19.93","169.19","4.68e+2","0.360","-0.59432","1.92e+6","4.4e-10","9.176e+05","-4.78","0","bK10AB8U"
"(2010 AU118)","2064-10-20.37","56.54","5.40e+2","0.103","-0.55117","1.96e+6","4.0e-10","9.068e+05","-4.78","0","bK10AB8U"
"(2016 WN55)","2027-09-12.74","78.08","1.40e+2","0.550","-0.54326","5.11e+5","5.1e-9","5.599e+03","-4.79","0","bK16W55N"
"(2008 UB7)","2063-11-01.41","0.08","1.55e-3","0.000","-1.56509","8.97e+4","2.6e-6","1.454e+01","-4.80","0","bK08U07B"
"(2010 AU118)","2084-10-19.96","165.99","4.66e+2","0.354","-0.59575","1.60e+6","5.3e-10","9.174e+05","-4.81","0","bK10AB8U"
"(2007 FT3)","2041-10-03.37","35.12","4.79e+1","0.713","-0.61471","3.32e+5","2.0e-8","2.686e+03","-4.82","0","bK07F03T"
"101955 Bennu (1999 RQ36)","2198-09-24.88","0.00","< 1.e-04","0.000","-1.924","8.95e+5","3.0e-7","1.151e+03","-4.82","","a0101955"
"(2016 NL56)","2081-04-23.55","140.79","2.21e+2","0.632","0.01590","1.36e+5","1.4e-8","1.364e+04","-4.84","0","bK16N56L"
"(2010 AU118)","2033-10-20.40","19.60","6.78e+2","0.027","-0.56313","5.12e+6","1.2e-10","9.101e+05","-4.84","0","bK10AB8U"
"(2008 UB7)","2086-11-01.27","0.05","1.18e-2","0.000","1.87456","3.92e+4","3.5e-6","1.428e+01","-4.85","0","bK08U07B"
"(2010 AU118)","2076-10-19.94","167.98","4.71e+2","0.354","-0.59515","1.94e+6","4.3e-10","9.178e+05","-4.85","0","bK10AB8U"
"(2011 XC2)","2056-12-02.41","0.35","2.22e-3","0.000","-3.00594","1.24e+4","6.7e-7","5.519e+01","-4.86","0","bK11X02C"
"(2010 AU118)","2077-10-20.65","58.84","5.34e+2","0.108","-0.55210","1.84e+6","4.3e-10","9.068e+05","-4.86","0","bK10AB8U"
"(2010 AU118)","2066-10-21.08","154.21","5.62e+2","0.272","-0.53293","2.10e+6","3.5e-10","9.022e+05","-4.86","0","bK10AB8U"
"(2007 FT3)","2058-10-03.74","62.29","4.89e+1","1.252","-0.57902","1.27e+5","3.0e-8","2.678e+03","-4.87","0","bK07F03T"
"(2008 UV99)","2036-03-29.06","23.07","1.67e+1","1.324","0.50499","9.71e+5","1.0e-8","3.805e+03","-4.87","0","bK08U99V"
"(2010 AU118)","2112-10-21.76","183.42","7.28e+2","0.251","-0.53007","8.71e+5","6.6e-10","9.013e+05","-4.87","0","bK10AB8U"
"101955 Bennu (1999 RQ36)","2187-09-25.21","0.45","< 1.e-04","0.000","2.199","4.84e+5","2.4e-7","1.152e+03","-4.88","","a0101955"
"(2017 FO63)","2097-11-13.77","0.29","2.38e-2","0.000","0.05002","5.94e+5","1.3e-6","5.368e+01","-4.89","0","bK17F63O"
"101955 Bennu (1999 RQ36)","2199-09-24.98","0.09","< 1.e-04","0.000","-1.952","9.53e+5","2.6e-7","1.150e+03","-4.89","","a0101955"
"(2015 ME131)","2021-08-18.50","21.22","6.28e+2","0.032","0.74601","6.13e+5","9.9e-10","1.056e+04","-4.90","0","bK15MD1E"
